tourney_date,surface,winner_name,loser_name
20250208,Hard,Murphy Cassone,Mitchell Krueger
20250208,Hard,James Trotter,Ryan Seggerman
20250208,Hard,Ethan Quinn,Tomas Barrios Vera
20250208,Hard,Michael Mmoh,Radu Albot
20250208,Hard,Zachary Svajda,Stefan Kozlov
20250208,Hard,Dmitry Popko,Federico Agustin Gomez
20250209,Hard,James Trotter,Taro Daniel
20250209,Hard,Tristan Boyer,Murphy Cassone
20250209,Hard,Zachary Svajda,Ethan Quinn
20250209,Hard,Michael Mmoh,Dmitry Popko
20250210,Hard,Miomir Kecmanovic,Borna Gojo
20250210,Hard,Cameron Norrie,Zachary Svajda
20250210,Hard,Ethan Quinn,Tristan Boyer
20250210,Hard,Michael Mmoh,Aleksandr Shevchenko
20250211,Hard,Brandon Nakashima,James Trotter
20250211,Hard,Yoshihito Nishioka,Aleksandar Vukic
20250211,Hard,Alejandro Davidovich Fokina,Taro Daniel
20250211,Hard,Bu Yunchaokete,Rinky Hijikata
20250211,Hard,Arthur Rinderknech,Dmitry Popko
20250211,Hard,Mackenzie McDonald,Kei Nishikori
20250212,Hard,Reilly Opelka,Christopher Eubanks
20250212,Hard,Learner Tien,Adam Walton
20250212,Hard,Miomir Kecmanovic,Yoshihito Nishioka
20250212,Hard,Cameron Norrie,Arthur Rinderknech
20250212,Hard,Marcos Giron,Ethan Quinn
20250213,Hard,Alex Michelsen,Michael Mmoh
20250213,Hard,Brandon Nakashima,Reilly Opelka
20250213,Hard,Alejandro Davidovich Fokina,Mackenzie McDonald
20250213,Hard,Matteo Arnaldi,Learner Tien
20250214,Hard,Taylor Fritz,Bu Yunchaokete
20250214,Hard,Miomir Kecmanovic,Marcos Giron
20250214,Hard,Alex Michelsen,Cameron Norrie
20250214,Hard,Matteo Arnaldi,Brandon Nakashima
20250215,Hard,Alejandro Davidovich Fokina,Taylor Fritz
20250215,Hard,Miomir Kecmanovic,Alex Michelsen
20250216,Hard,Alejandro Davidovich Fokina,Matteo Arnaldi
20250216,Hard,Miomir Kecmanovic,Alejandro Davidovich Fokina
20250208,Hard,Laslo Djere,Marco Trungelliti
20250208,Hard,Federico Coria,Thiago Agustin Tirante
20250208,Hard,Felipe Meligeni Alves,Thiago Monteiro
20250208,Hard,Sumit Nagal,Juan Pablo Ficovich
20250208,Hard,Juan Manuel Cerundolo,Jaime Faria
20250208,Hard,Francesco Passaro,Daniel Elahi Galan
20250208,Hard,Roman Andres Burruchaga,Gustavo Heide
20250208,Hard,Juan Bautista Torres,Chun-Hsin Tseng
20250209,Hard,Laslo Djere,Federico Coria
20250209,Hard,Juan Manuel Cerundolo,Sumit Nagal
20250209,Hard,Francesco Passaro,Juan Bautista Torres
20250209,Hard,Roman Andres Burruchaga,Felipe Meligeni Alves
20250210,Hard,Dusan Lajovic,Roberto Carballes Baena
20250210,Hard,Laslo Djere,Alexandre Muller
20250210,Hard,Thiago Seyboth Wild,Facundo Diaz Acosta
20250211,Hard,Mariano Navone,Francisco Comesana
20250211,Hard,Sebastian Baez,Camilo Ugo Carabelli
20250211,Hard,Juan Manuel Cerundolo,Roman Andres Burruchaga
20250211,Hard,Francisco Cerundolo,Luciano Darderi
20250212,Hard,Federico Coria,Hugo Gaston
20250212,Hard,Joao Fonseca,Tomas Martin Etcheverry
20250212,Hard,Pedro Martinez,Damir Dzumhur
20250212,Hard,Laslo Djere,Alejandro Tabilo
20250212,Hard,Diego Schwartzman,Nicolas Jarry
20250212,Hard,Corentin Moutet,Sumit Nagal
20250212,Hard,Alexander Zverev,Dusan Lajovic
20250212,Hard,Thiago Seyboth Wild,Sebastian Baez
20250212,Hard,Francisco Cerundolo,Juan Manuel Cerundolo
20250213,Hard,Joao Fonseca,Federico Coria
20250213,Hard,Pedro Martinez,Diego Schwartzman
20250213,Hard,Mariano Navone,Holger Rune
20250213,Hard,Lorenzo Musetti,Corentin Moutet
