date,home,away,home_score,away_score
2025-04-10,Adelaide Crows,Geelong Cats,100,119
2025-04-11,Collingwood,Sydney Swans,109,78
2025-04-12,North Melbourne,Gold Coast SUNS,89,141
2025-04-12,Carlton,West Coast Eagles,121,50
2025-04-12,Western Bulldogs,Brisbane Lions,97,118
2025-04-12,Melbourne,Essendon,57,96
2025-04-13,Richmond,Fremantle,47,108
2025-04-13,St Kilda,GWS GIANTS,82,110
2025-04-13,Port Adelaide,Hawthorn,121,91
2025-04-17,Brisbane Lions,Collingwood,53,105
2025-04-18,North Melbourne,Carlton,71,153
2025-04-18,West Coast Eagles,Essendon,75,77
2025-04-19,Melbourne,Fremantle,107,97
2025-04-19,Adelaide Crows,GWS GIANTS,52,34
2025-04-19,Richmond,Gold Coast SUNS,80,69
2025-04-20,Sydney Swans,Port Adelaide,77,85
2025-04-20,Western Bulldogs,St Kilda,127,56
2025-04-21,Geelong Cats,Hawthorn,86,79
2025-04-24,Melbourne,Richmond,83,63
2025-04-25,Collingwood,Essendon,107,66
2025-04-25,Fremantle,Adelaide Crows,85,67
2025-04-26,St Kilda,Brisbane Lions,73,118
2025-04-26,Port Adelaide,North Melbourne,97,88
2025-04-26,GWS GIANTS,Western Bulldogs,81,113
2025-04-27,Gold Coast SUNS,Sydney Swans,117,79
2025-04-27,Carlton,Geelong Cats,94,76
2025-04-27,Hawthorn,West Coast Eagles,124,74
2025-05-01,Essendon,North Melbourne,65,62
2025-05-02,St Kilda,Fremantle,94,33
2025-05-03,Western Bulldogs,Port Adelaide,131,41
2025-05-03,Adelaide Crows,Carlton,110,50
2025-05-03,West Coast Eagles,Melbourne,76,108
2025-05-03,Collingwood,Geelong Cats,87,90
2025-05-04,Sydney Swans,GWS GIANTS,87,73
2025-05-04,Hawthorn,Richmond,109,44
2025-05-04,Brisbane Lions,Gold Coast SUNS,66,49
2025-05-08,Fremantle,Collingwood,83,97
2025-05-09,St Kilda,Carlton,62,77
2025-05-10,Melbourne,Hawthorn,56,91
2025-05-10,Essendon,Sydney Swans,71,63
2025-05-10,Gold Coast SUNS,Western Bulldogs,106,96
2025-05-10,Port Adelaide,Adelaide Crows,84,89
2025-05-11,Richmond,West Coast Eagles,81,79
2025-05-11,Geelong Cats,GWS GIANTS,101,105
2025-05-11,North Melbourne,Brisbane Lions,71,71
2025-05-15,Gold Coast SUNS,Hawthorn,104,96
