date,home,away,home_score,away_score
2025-10-04,Milwaukee Brewers,Chicago Cubs,9,3
2025-10-04,Toronto Blue Jays,New York Yankees,10,1
2025-10-04,Philadelphia Phillies,Los Angeles Dodgers,3,5
2025-10-05,Seattle Mariners,Detroit Tigers,2,3
2025-10-05,Toronto Blue Jays,New York Yankees,13,7
2025-10-06,Seattle Mariners,Detroit Tigers,3,2
2025-10-06,Philadelphia Phillies,Los Angeles Dodgers,3,4
2025-10-07,Milwaukee Brewers,Chicago Cubs,7,3
2025-10-07,Detroit Tigers,Seattle Mariners,4,8
2025-10-08,New York Yankees,Toronto Blue Jays,9,6
2025-10-08,Detroit Tigers,Seattle Mariners,9,3
2025-10-08,Chicago Cubs,Milwaukee Brewers,4,3
2025-10-09,Los Angeles Dodgers,Philadelphia Phillies,2,8
2025-10-10,Chicago Cubs,Milwaukee Brewers,6,0
2025-10-11,Seattle Mariners,Detroit Tigers,3,2
2025-10-12,Milwaukee Brewers,Chicago Cubs,3,1
2025-10-13,Toronto Blue Jays,Seattle Mariners,1,3
2025-10-14,Milwaukee Brewers,Los Angeles Dodgers,1,2
2025-10-15,Milwaukee Brewers,Los Angeles Dodgers,1,5
2025-10-16,Seattle Mariners,Toronto Blue Jays,4,13
2025-10-16,Los Angeles Dodgers,Milwaukee Brewers,3,1
2025-10-17,Seattle Mariners,Toronto Blue Jays,2,8
2025-10-18,Los Angeles Dodgers,Milwaukee Brewers,5,1
2025-10-20,Toronto Blue Jays,Seattle Mariners,6,2
2025-10-21,Toronto Blue Jays,Seattle Mariners,4,3
2025-10-25,Toronto Blue Jays,Los Angeles Dodgers,11,4
2025-10-26,Toronto Blue Jays,Los Angeles Dodgers,1,5
2025-10-28,Los Angeles Dodgers,Toronto Blue Jays,6,5
2025-10-29,Los Angeles Dodgers,Toronto Blue Jays,2,6
2025-10-30,Los Angeles Dodgers,Toronto Blue Jays,1,6
2025-11-01,Toronto Blue Jays,Los Angeles Dodgers,1,3
2025-11-02,Toronto Blue Jays,Los Angeles Dodgers,4,5
2026-02-20,Baltimore Orioles,New York Yankees,2,0
2026-02-20,Chicago Cubs,Chicago White Sox,1,8
2026-02-20,Texas Rangers,Kansas City Royals,3,7
2026-02-20,Colorado Rockies,Arizona Diamondbacks,2,3
2026-02-20,Seattle Mariners,San Diego Padres,7,4
2026-02-21,Baltimore Orioles,Pittsburgh Pirates,2,8
2026-02-21,Minnesota Twins,Boston Red Sox,2,7
2026-02-21,New York Yankees,Detroit Tigers,20,3
2026-02-21,St. Louis Cardinals,Washington Nationals,2,6
2026-02-21,Tampa Bay Rays,Atlanta Braves,1,5
2026-02-21,Washington Nationals,Houston Astros,2,1
2026-02-21,Toronto Blue Jays,Philadelphia Phillies,3,0
2026-02-21,New York Mets,Miami Marlins,1,2
2026-02-21,Chicago Cubs,Texas Rangers,2,3
2026-02-21,Chicago White Sox,Athletics,11,2
2026-02-21,Cleveland Guardians,Cincinnati Reds,4,2
2026-02-21,Kansas City Royals,San Diego Padres,3,10
2026-02-21,Arizona Diamondbacks,Colorado Rockies,6,11
2026-02-21,Milwaukee Brewers,Cleveland Guardians,6,9
2026-02-21,Seattle Mariners,San Francisco Giants,5,10
2026-02-21,Los Angeles Angels,Los Angeles Dodgers,2,15
2026-02-22,Atlanta Braves,Minnesota Twins,1,8
2026-02-22,Boston Red Sox,Toronto Blue Jays,11,10
2026-02-22,Detroit Tigers,Baltimore Orioles,4,4
2026-02-22,Houston Astros,St. Louis Cardinals,5,6
2026-02-22,New York Yankees,New York Mets,4,6
2026-02-22,Philadelphia Phillies,Pittsburgh Pirates,3,4
2026-02-22,Pittsburgh Pirates,Tampa Bay Rays,7,4
2026-02-22,Miami Marlins,Washington Nationals,8,16
2026-02-22,Athletics,Cleveland Guardians,0,6
2026-02-22,Chicago White Sox,Milwaukee Brewers,5,2
2026-02-22,Cincinnati Reds,Seattle Mariners,8,14
2026-02-22,San Francisco Giants,Chicago Cubs,4,2
2026-02-22,Texas Rangers,Colorado Rockies,9,5
2026-02-22,Arizona Diamondbacks,Los Angeles Angels,9,10
2026-02-22,Milwaukee Brewers,Kansas City Royals,3,7
2026-02-22,San Diego Padres,Los Angeles Dodgers,1,5
2026-02-23,Baltimore Orioles,Atlanta Braves,7,10
2026-02-23,Detroit Tigers,Minnesota Twins,0,3
2026-02-23,Pittsburgh Pirates,New York Yankees,2,6
2026-02-23,St. Louis Cardinals,Miami Marlins,5,4
2026-02-23,Tampa Bay Rays,Boston Red Sox,2,1
2026-02-23,Toronto Blue Jays,New York Mets,3,4
2026-02-23,Cleveland Guardians,Arizona Diamondbacks,9,5
2026-02-23,Kansas City Royals,Chicago Cubs,2,3
2026-02-23,Los Angeles Dodgers,Seattle Mariners,3,0
2026-02-23,San Francisco Giants,Athletics,6,2
2026-02-23,Colorado Rockies,Chicago White Sox,5,4
2026-02-23,Los Angeles Angels,Texas Rangers,0,6
2026-02-23,San Diego Padres,Milwaukee Brewers,7,5
2026-02-23,Washington Nationals,Philadelphia Phillies,5,5
2026-02-24,Atlanta Braves,Detroit Tigers,8,1
2026-02-24,Boston Red Sox,Pittsburgh Pirates,7,16
2026-02-24,Minnesota Twins,Baltimore Orioles,5,10
2026-02-24,Tampa Bay Rays,Minnesota Twins,12,1
2026-02-24,Toronto Blue Jays,New York Yankees,7,8
2026-02-24,Miami Marlins,Philadelphia Phillies,6,1
2026-02-24,New York Mets,Houston Astros,6,6
2026-02-24,Athletics,Milwaukee Brewers,0,10
2026-02-24,Chicago Cubs,San Diego Padres,6,5
2026-02-24,Cincinnati Reds,Kansas City Royals,5,4
2026-02-24,Los Angeles Dodgers,Cleveland Guardians,11,3
2026-02-24,Texas Rangers,Arizona Diamondbacks,4,6
2026-02-24,Colorado Rockies,Los Angeles Angels,7,5
2026-02-24,Los Angeles Angels,San Francisco Giants,1,4
