date,home,away,home_score,away_score
2025-10-02,New York Knicks,Philadelphia 76ers,99,84
2025-10-03,New Orleans Pelicans,Melbourne United,107,97
2025-10-04,Los Angeles Lakers,Phoenix Suns,81,103
2025-10-04,Philadelphia 76ers,New York Knicks,104,113
2025-10-05,Brooklyn Nets,Hapoel Jerusalem,123,88
2025-10-05,Miami Heat,Orlando Magic,118,126
2025-10-05,Denver Nuggets,Minnesota Timberwolves,116,126
2025-10-05,New Orleans Pelicans,Melbourne Pnx,127,92
2025-10-05,Charlotte Hornets,Oklahoma City Thunder,114,135
2025-10-06,Golden State Warriors,Los Angeles Lakers,111,103
2025-10-06,Miami Heat,Milwaukee Bucks,93,103
2025-10-07,Houston Rockets,Atlanta Hawks,122,113
2025-10-07,Memphis Grizzlies,Detroit Pistons,112,128
2025-10-07,San Antonio Spurs,Guangzhou Loong-Lions,119,88
2025-10-07,Dallas Mavericks,Oklahoma City Thunder,106,89
2025-10-07,Toronto Raptors,Denver Nuggets,108,112
2025-10-07,Cleveland Cavaliers,Chicago Bulls,117,118
2025-10-08,Minnesota Timberwolves,Indiana Pacers,134,135
2025-10-08,Miami Heat,San Antonio Spurs,107,112
2025-10-09,Houston Rockets,Utah Jazz,140,127
2025-10-09,Memphis Grizzlies,Boston Celtics,103,121
2025-10-09,Golden State Warriors,Portland Trail Blazers,129,123
2025-10-09,Sacramento Kings,Toronto Raptors,122,130
2025-10-09,New York Knicks,Minnesota Timberwolves,100,95
2025-10-10,Chicago Bulls,Cleveland Cavaliers,119,112
2025-10-10,Milwaukee Bucks,Detroit Pistons,117,111
2025-10-10,Oklahoma City Thunder,Charlotte Hornets,122,116
2025-10-10,LA Clippers,Guangzhou Loong-Lions,142,95
2025-10-10,Brooklyn Nets,Phoenix Suns,127,132
2025-10-10,Toronto Raptors,Boston Celtics,107,105
2025-10-10,Philadelphia 76ers,Orlando Magic,98,128
2025-10-11,San Antonio Spurs,Utah Jazz,134,130
2025-10-11,Portland Trail Blazers,Sacramento Kings,124,123
