date,home,away,home_score,away_score
2025-05-02,Las Vegas Aces,Dallas Wings,112,78
2025-05-03,Chicago Sky,Brazil,89,62
2025-05-03,Indiana Fever,Washington Mystics,79,74
2025-05-04,Indiana Fever,Brazil,108,44
2025-05-04,Seattle Storm,Connecticut Sun,79,59
2025-05-06,Chicago Sky,Minnesota Lynx,74,69
2025-05-07,Golden State Valkyries,Los Angeles Sparks,82,83
2025-05-07,Las Vegas Aces,Phoenix Mercury,85,84
2025-05-07,Washington Mystics,Atlanta Dream,70,80
2025-05-09,New York Liberty,Connecticut Sun,86,94
2025-05-10,Atlanta Dream,Indiana Fever,76,81
2025-05-11,Minnesota Lynx,Chicago Sky,92,87
2025-05-11,Dallas Wings,Toyota Antelopes,119,52
2025-05-11,Phoenix Mercury,Golden State Valkyries,79,84
2025-05-13,New York Liberty,Toyota Antelopes,84,61
2025-05-16,Washington Mystics,Atlanta Dream,94,90
2025-05-16,Dallas Wings,Minnesota Lynx,84,99
2025-05-17,Golden State Valkyries,Los Angeles Sparks,67,84
2025-05-17,New York Liberty,Las Vegas Aces,92,78
2025-05-17,Indiana Fever,Chicago Sky,93,58
2025-05-18,Phoenix Mercury,Seattle Storm,81,59
2025-05-18,Connecticut Sun,Washington Mystics,85,90
2025-05-18,Los Angeles Sparks,Minnesota Lynx,75,89
2025-05-20,Dallas Wings,Seattle Storm,71,79
2025-05-20,Connecticut Sun,Las Vegas Aces,62,87
2025-05-20,Indiana Fever,Atlanta Dream,90,91
2025-05-22,Minnesota Lynx,Dallas Wings,85,81
2025-05-22,Golden State Valkyries,Washington Mystics,76,74
2025-05-22,Phoenix Mercury,Los Angeles Sparks,89,86
2025-05-22,Atlanta Dream,Indiana Fever,76,81
2025-05-23,Chicago Sky,New York Liberty,74,99
2025-05-23,Minnesota Lynx,Connecticut Sun,76,70
2025-05-24,Las Vegas Aces,Washington Mystics,75,72
2025-05-24,Los Angeles Sparks,Golden State Valkyries,73,82
2025-05-24,Seattle Storm,Phoenix Mercury,77,70
2025-05-24,Indiana Fever,New York Liberty,88,90
2025-05-24,Atlanta Dream,Dallas Wings,83,75
2025-05-25,Atlanta Dream,Connecticut Sun,79,55
2025-05-25,Los Angeles Sparks,Chicago Sky,91,78
2025-05-25,Phoenix Mercury,Washington Mystics,68,62
2025-05-25,Seattle Storm,Las Vegas Aces,102,82
2025-05-27,Connecticut Sun,Dallas Wings,87,109
2025-05-27,New York Liberty,Golden State Valkyries,95,67
2025-05-28,Minnesota Lynx,Seattle Storm,82,77
2025-05-28,Los Angeles Sparks,Atlanta Dream,82,88
