date,home,away,home_score,away_score
2025-09-24,Carolina Hurricanes,Florida Panthers,2,4
2025-09-24,Columbus Blue Jackets,Pittsburgh Penguins,4,1
2025-09-25,Edmonton Oilers,Seattle Kraken,1,4
2025-09-25,Anaheim Ducks,Los Angeles Kings,0,3
2025-09-25,Vancouver Canucks,Calgary Flames,3,1
2025-09-25,Detroit Red Wings,Buffalo Sabres,5,2
2025-09-25,New York Rangers,New York Islanders,4,5
2025-09-25,Washington Capitals,Philadelphia Flyers,5,1
2025-09-25,Montreal Canadiens,Toronto Maple Leafs,2,7
2025-09-26,Minnesota Wild,Dallas Stars,2,5
2025-09-26,Vegas Golden Knights,Utah Mammoth,3,2
2025-09-26,Tampa Bay Lightning,Carolina Hurricanes,6,5
2025-09-26,Pittsburgh Penguins,Detroit Red Wings,3,2
2025-09-26,New York Islanders,New Jersey Devils,2,4
2025-09-27,Edmonton Oilers,Winnipeg Jets,4,0
2025-09-27,San Jose Sharks,Vegas Golden Knights,1,2
2025-09-27,Vancouver Canucks,Seattle Kraken,4,2
2025-09-27,Buffalo Sabres,Detroit Red Wings,5,2
2025-09-27,Philadelphia Flyers,Boston Bruins,3,4
2025-09-27,Los Angeles Kings,Anaheim Ducks,3,5
2025-09-27,Pittsburgh Penguins,Columbus Blue Jackets,4,1
2025-09-27,Colorado Avalanche,Dallas Stars,4,1
2025-09-27,Tampa Bay Lightning,Nashville Predators,4,1
2025-09-27,Toronto Maple Leafs,Montreal Canadiens,2,4
2025-09-27,St. Louis Blues,Chicago Blackhawks,2,4
2025-09-28,Winnipeg Jets,Calgary Flames,4,2
2025-09-28,Ottawa Senators,New Jersey Devils,2,0
2025-09-28,New Jersey Devils,Washington Capitals,2,3
2025-09-28,Minnesota Wild,Chicago Blackhawks,1,4
2025-09-28,Carolina Hurricanes,Nashville Predators,4,2
2025-09-29,Edmonton Oilers,Vancouver Canucks,4,3
2025-09-29,Florida Panthers,Carolina Hurricanes,4,3
2025-09-29,New York Islanders,New York Rangers,2,3
2025-09-29,Boston Bruins,Philadelphia Flyers,2,3
2025-09-29,Detroit Red Wings,Pittsburgh Penguins,1,2
2025-09-30,Anaheim Ducks,San Jose Sharks,3,2
2025-09-30,Seattle Kraken,Calgary Flames,1,2
2025-09-30,Tampa Bay Lightning,Florida Panthers,3,2
2025-09-30,Columbus Blue Jackets,Washington Capitals,3,4
2025-09-30,Ottawa Senators,Montreal Canadiens,0,5
2025-10-01,Chicago Blackhawks,Detroit Red Wings,1,3
2025-10-01,Colorado Avalanche,Vegas Golden Knights,4,2
2025-10-01,Minnesota Wild,Winnipeg Jets,3,2
2025-10-01,St. Louis Blues,Dallas Stars,3,5
2025-10-01,Utah Mammoth,Los Angeles Kings,2,3
2025-10-01,Buffalo Sabres,Pittsburgh Penguins,3,5
2025-10-02,Vegas Golden Knights,Colorado Avalanche,2,1
2025-10-02,Calgary Flames,Vancouver Canucks,1,8
2025-10-02,San Jose Sharks,Anaheim Ducks,2,5
2025-10-02,Seattle Kraken,Edmonton Oilers,4,2
2025-10-02,Washington Capitals,Boston Bruins,1,3
2025-10-02,Toronto Maple Leafs,Detroit Red Wings,1,3
2025-10-02,Tampa Bay Lightning,Florida Panthers,5,2
2025-10-02,New York Rangers,New Jersey Devils,1,3
2025-10-02,Philadelphia Flyers,New York Islanders,3,4
2025-10-03,St. Louis Blues,Ottawa Senators,7,1
2025-10-03,Utah Mammoth,Los Angeles Kings,2,1
2025-10-03,Pittsburgh Penguins,Buffalo Sabres,5,4
2025-10-04,Chicago Blackhawks,Minnesota Wild,2,3
2025-10-04,Calgary Flames,Winnipeg Jets,4,5
2025-10-04,Vegas Golden Knights,San Jose Sharks,1,4
2025-10-04,Vancouver Canucks,Edmonton Oilers,3,2
2025-10-04,Philadelphia Flyers,New Jersey Devils,4,3
2025-10-04,Boston Bruins,New York Rangers,4,1
2025-10-04,Los Angeles Kings,Anaheim Ducks,5,4
2025-10-04,Nashville Predators,Carolina Hurricanes,3,2
2025-10-04,Dallas Stars,Colorado Avalanche,3,2
2025-10-04,Washington Capitals,Columbus Blue Jackets,2,1
2025-10-04,Florida Panthers,Tampa Bay Lightning,7,0
2025-10-04,Detroit Red Wings,Toronto Maple Leafs,6,5
2025-10-04,Montreal Canadiens,Ottawa Senators,1,3
2025-10-04,Chicago Blackhawks,St. Louis Blues,0,4
2025-10-05,Utah Mammoth,San Jose Sharks,6,4
2025-10-07,Florida Panthers,Chicago Blackhawks,3,2
2025-10-08,New York Rangers,Pittsburgh Penguins,0,3
2025-10-08,Los Angeles Kings,Colorado Avalanche,1,4
2025-10-08,Toronto Maple Leafs,Montreal Canadiens,5,2
2025-10-08,Washington Capitals,Boston Bruins,1,3
2025-10-09,Edmonton Oilers,Calgary Flames,3,4
2025-10-09,Vegas Golden Knights,Los Angeles Kings,5,6
2025-10-09,Boston Bruins,Chicago Blackhawks,4,3
2025-10-09,Buffalo Sabres,New York Rangers,0,4
2025-10-09,Detroit Red Wings,Montreal Canadiens,1,5
2025-10-09,Tampa Bay Lightning,Ottawa Senators,4,5
2025-10-09,Florida Panthers,Philadelphia Flyers,2,1
2025-10-09,Pittsburgh Penguins,New York Islanders,4,3
2025-10-09,Carolina Hurricanes,New Jersey Devils,6,3
2025-10-10,St. Louis Blues,Minnesota Wild,0,5
2025-10-10,Nashville Predators,Columbus Blue Jackets,2,1
2025-10-10,Winnipeg Jets,Dallas Stars,4,5
2025-10-10,Colorado Avalanche,Utah Mammoth,2,1
2025-10-10,Vancouver Canucks,Calgary Flames,5,1
2025-10-10,San Jose Sharks,Vegas Golden Knights,3,4
2025-10-10,Seattle Kraken,Anaheim Ducks,3,1
2025-10-11,Winnipeg Jets,Los Angeles Kings,3,2
2025-10-11,Calgary Flames,St. Louis Blues,2,4
2025-10-11,Boston Bruins,Buffalo Sabres,3,1
2025-10-11,Detroit Red Wings,Toronto Maple Leafs,6,3
2025-10-11,Tampa Bay Lightning,New Jersey Devils,3,5
2025-10-11,Florida Panthers,Ottawa Senators,6,2
2025-10-11,New York Islanders,Washington Capitals,2,4
2025-10-11,Pittsburgh Penguins,New York Rangers,1,6
2025-10-11,Carolina Hurricanes,Philadelphia Flyers,4,3
2025-10-11,Chicago Blackhawks,Montreal Canadiens,2,3
2025-10-12,Nashville Predators,Utah Mammoth,2,3
2025-10-12,Minnesota Wild,Columbus Blue Jackets,4,7
2025-10-12,Colorado Avalanche,Dallas Stars,4,5
2025-10-12,Edmonton Oilers,Vancouver Canucks,3,1
2025-10-12,San Jose Sharks,Anaheim Ducks,6,7
2025-10-12,Seattle Kraken,Vegas Golden Knights,2,1
2025-10-12,New York Rangers,Washington Capitals,0,1
2025-10-13,Buffalo Sabres,Colorado Avalanche,1,3
2025-10-13,Boston Bruins,Tampa Bay Lightning,3,4
2025-10-13,Ottawa Senators,Nashville Predators,1,4
2025-10-13,New York Islanders,Winnipeg Jets,2,5
2025-10-13,Toronto Maple Leafs,Detroit Red Wings,2,3
