date,winner,loser
2023-06-10,Diana Belbita,Maria Oliveira
2023-06-10,Steve Erceg,David Dvorak
2023-06-10,Kyle Nelson,Blake Bilder
2023-06-10,Aiemann Zahabi,Aoriqileng
2023-06-10,Jasmine Jasudavicius,Miranda Maverick
2023-06-10,Marc-Andre Barriault,Eryk Anders
2023-06-10,Dan Ige,Nate Landwehr
2023-06-10,Mike Malott,Adam Fugitt
2023-06-10,Charles Oliveira,Beneil Dariush
2023-06-10,Amanda Nunes,Irene Aldana
2023-06-17,Modestas Bukauskas,Zac Pauga
2023-06-17,Tereza Bleda,Gabriella Fernandes
2023-06-17,Carlos Hernandez,Denys Bondar
2023-06-17,Kyung Ho Kang,Cristian Quiñonez
2023-06-17,Alessandro Costa,Jimmy Flick
2023-06-17,Nicolas Dalby,Muslim Salikhov
2023-06-17,Manuel Torres,Nikolas Motta
2023-06-17,Pat Sabatini,Lucas Almeida
2023-06-17,Armen Petrosyan,Christian Leroy Duncan
2023-06-17,Arman Tsarukyan,Joaquim Silva
2023-06-17,Jared Cannonier,Marvin Vettori
2023-06-24,Sedriques Dumas,Cody Brundage
2023-06-24,Jack Jenkins,Jamall Emmers
2023-06-24,Chepe Mariscal,Trevor Peek
2023-06-24,Joshua Van,Zhalgas Zhumagulov
2023-06-24,Tabatha Ricci,Gillian Robertson
2023-06-24,Mateusz Rębecki,Loik Radzhabov
2023-06-24,Randy Brown,Wellington Turman
2023-06-24,Neil Magny,Phil Rowe
2023-06-24,Brendan Allen,Bruno Silva
2023-06-24,David Onama,Gabriel Santos
2023-06-24,Maycee Barber,Amanda Ribas
2023-06-24,Ilia Topuria,Josh Emmett
2023-07-01,Alexandr Romanov,Blagoy Ivanov
2023-07-01,Luana Carolina,Ivana Petrovic
2023-07-01,Elves Brener,Guram Kutateladze
2023-07-01,Karol Rosa,Yana Santos
2023-07-01,Joanderson Brito,Westin Wilson
2023-07-01,Rinat Fakhretdinov,Kevin Lee
