date,home,away,home_score,away_score
2025-04-10,Dolphins,Panthers,30,12
2025-04-11,Dragons,Titans,38,16
2025-04-11,Broncos,Roosters,16,26
2025-04-12,Sharks,Sea Eagles,24,18
2025-04-12,Rabbitohs,Cowboys,16,24
2025-04-12,Eels,Raiders,12,50
2025-04-13,Storm,Warriors,42,14
2025-04-13,Knights,Wests Tigers,4,20
2025-04-17,Sea Eagles,Dragons,18,20
2025-04-18,Bulldogs,Rabbitohs,32,0
2025-04-18,Dolphins,Storm,42,22
2025-04-19,Warriors,Broncos,20,18
2025-04-19,Roosters,Panthers,12,40
2025-04-20,Titans,Raiders,20,30
2025-04-20,Knights,Sharks,14,34
2025-04-21,Wests Tigers,Eels,22,38
2025-04-24,Broncos,Bulldogs,42,18
2025-04-25,Roosters,Dragons,46,18
2025-04-25,Warriors,Knights,26,12
2025-04-25,Storm,Rabbitohs,24,16
2025-04-26,Cowboys,Titans,50,18
2025-04-26,Panthers,Sea Eagles,10,26
2025-04-27,Raiders,Dolphins,40,28
2025-04-27,Wests Tigers,Sharks,20,18
2025-05-02,Sharks,Eels,28,18
2025-05-02,Roosters,Dolphins,36,26
2025-05-03,Rabbitohs,Knights,4,30
2025-05-03,Warriors,Cowboys,30,26
2025-05-03,Wests Tigers,Dragons,34,28
2025-05-04,Titans,Bulldogs,18,38
2025-05-04,Panthers,Broncos,32,8
2025-05-04,Storm,Raiders,18,20
2025-05-08,Eels,Dolphins,16,20
2025-05-09,Knights,Titans,20,24
2025-05-09,Rabbitohs,Broncos,22,14
2025-05-10,Raiders,Bulldogs,20,32
2025-05-10,Dragons,Warriors,14,15
2025-05-10,Cowboys,Panthers,30,30
2025-05-11,Storm,Wests Tigers,64,0
2025-05-11,Sea Eagles,Sharks,14,30
2025-05-16,Knights,Eels,6,28
2025-05-16,Bulldogs,Roosters,24,20
2025-05-17,Dolphins,Warriors,12,16
2025-05-17,Cowboys,Sea Eagles,6,24
2025-05-17,Sharks,Storm,31,26
2025-05-18,Broncos,Dragons,26,30
2025-05-18,Raiders,Titans,40,24
2025-05-18,Wests Tigers,Rabbitohs,12,22
2025-05-22,Bulldogs,Dolphins,8,44
2025-05-23,Eels,Sea Eagles,30,10
2025-05-24,Panthers,Knights,6,25
2025-05-24,Roosters,Sharks,42,16
2025-05-25,Warriors,Raiders,10,16
2025-05-28,Queensland,New South Wales,6,18
2025-05-30,Dragons,Knights,20,6
2025-05-31,Titans,Storm,16,28
2025-05-31,Cowboys,Wests Tigers,32,28
2025-05-31,Sea Eagles,Broncos,34,6
2025-06-01,Rabbitohs,Warriors,30,36
2025-06-01,Panthers,Eels,18,10
2025-06-01,Roosters,Raiders,24,26
2025-06-05,Knights,Sea Eagles,26,22
2025-06-06,Storm,Cowboys,38,14
2025-06-06,Dolphins,Dragons,56,6
2025-06-07,Sharks,Warriors,10,40
2025-06-07,Broncos,Titans,44,14
2025-06-08,Raiders,Rabbitohs,36,12
2025-06-08,Wests Tigers,Panthers,14,18
2025-06-09,Bulldogs,Eels,30,12
2025-06-12,Sharks,Dragons,30,18
2025-06-13,Titans,Sea Eagles,28,8
2025-06-14,Knights,Roosters,8,12
2025-06-14,Cowboys,Dolphins,4,58
2025-06-15,Rabbitohs,Bulldogs,18,24
2025-06-18,Queensland,New South Wales,26,24
2025-06-20,Wests Tigers,Raiders,12,16
2025-06-21,Warriors,Panthers,18,28
2025-06-21,Dolphins,Knights,20,26
2025-06-21,Rabbitohs,Storm,24,25
2025-06-22,Broncos,Sharks,34,28
2025-06-22,Roosters,Cowboys,42,8
2025-06-22,Eels,Titans,36,20
2025-06-26,Panthers,Bulldogs,8,6
2025-06-27,Sea Eagles,Wests Tigers,28,10
2025-06-27,Knights,Raiders,18,22
2025-06-28,Broncos,Warriors,26,12
2025-06-28,Dragons,Eels,34,20
2025-06-28,Dolphins,Rabbitohs,50,28
2025-06-29,Storm,Sharks,30,6
2025-06-29,Titans,Cowboys,24,30
2025-07-04,Bulldogs,Broncos,18,22
2025-07-05,Raiders,Dragons,28,24
2025-07-05,Cowboys,Storm,20,26
2025-07-06,Roosters,Wests Tigers,28,30
2025-07-06,Sea Eagles,Rabbitohs,30,12
2025-07-09,New South Wales,Queensland,12,24
2025-07-11,Sharks,Dolphins,24,12
2025-07-12,Knights,Storm,14,32
2025-07-12,Dragons,Roosters,24,31
2025-07-12,Cowboys,Bulldogs,8,12
2025-07-13,Warriors,Wests Tigers,34,14
2025-07-13,Eels,Panthers,10,32
2025-07-13,Titans,Broncos,14,26
2025-07-17,Dolphins,Cowboys,43,24
2025-07-18,Sharks,Roosters,31,18
2025-07-18,Panthers,Rabbitohs,30,10
2025-07-19,Raiders,Eels,40,16
2025-07-19,Bulldogs,Dragons,20,18
2025-07-19,Storm,Sea Eagles,16,18
2025-07-20,Wests Tigers,Titans,21,20
2025-07-20,Knights,Warriors,15,20
2025-07-24,Roosters,Storm,30,34
2025-07-25,Cowboys,Dragons,38,32
2025-07-25,Broncos,Eels,20,22
2025-07-26,Warriors,Titans,16,24
2025-07-26,Panthers,Wests Tigers,36,2
2025-07-26,Rabbitohs,Sharks,12,14
